Intent,Sentence
salam_normal,hai
salam_normal,hello
salam_normal,halo
salam_normal,hei
salam_normal,hallo
salam_normal,hi
salam_normal,hey
salam_muslim,assalamualaikum
salam_muslim,asalamualaikum
salam_muslim,wassalamualaikum
salam_muslim,wasalamualaikum
covid,covid
covid,covid-19
covid,corona
covid,korona
covid,coronavirus
covid,sars-cov-2
covid,virus baru
covid,pandemi saat ini
covid,novel-corona-virus
meminta_info,cari info
meminta_info,tolong info
meminta_info,beri info
meminta_info,tahu
meminta_info,tau
selamat_tinggal,selamat tinggal
selamat_tinggal,bye
selamat_tinggal,selamat jumpa
selamat_tinggal,jumpa lagi
selamat_tinggal,sampai ketemu lagi
selamat_tinggal,sampai ketemu nanti
selamat_tinggal,aku akan pergi
selamat_tinggal,aku pergi dulu
